age,gender,ethnicity,hispanic,region,education
50,1,1,1,3,7
67,2,1,1,4,7
56,2,1,1,3,6
75,2,1,1,1,4
71,1,1,1,3,6
35,2,2,1,1,6
50,2,1,1,3,2
59,2,1,1,2,6
65,1,1,1,3,4
47,1,1,1,3,7
19,1,1,1,1,2
43,1,1,1,3,4
47,1,1,14,1,7
37,1,1,1,3,1
22,2,1,1,2,2
35,2,1,1,2,7
27,2,1,16,2,6
28,2,1,1,3,7
58,1,1,1,2,4
32,2,2,1,3,2
56,2,1,1,1,6
20,2,1,1,3,2
62,2,1,1,3,2
30,2,4,1,4,6
38,2,1,1,2,6
23,2,2,1,3,2
42,2,1,1,2,2
24,2,1,1,3,6
34,1,4,15,3,2
71,2,1,1,3,5
25,2,1,1,3,6
74,2,1,1,4,4
27,2,1,1,3,6
67,2,1,1,2,2
33,2,2,1,1,6
35,2,1,1,3,2
21,2,2,1,3,2
40,2,1,1,1,6
28,2,1,1,3,6
38,2,1,1,2,2
19,2,1,1,2,2
48,2,1,1,3,2
61,2,1,1,1,2
33,2,1,1,2,4
29,1,1,1,3,2
33,2,1,1,3,2
32,1,2,1,1,4
33,2,1,1,3,2
66,2,1,1,4,6
49,2,1,1,4,7
33,2,2,1,4,4
40,2,2,1,3,2
47,2,1,1,1,2
27,2,4,1,3,6
21,2,15,2,2,2
65,2,1,1,3,2
35,2,1,1,1,6
41,2,1,1,3,2
23,2,1,2,3,6
19,2,15,2,4,6
22,2,15,2,3,6
45,2,1,1,2,6
34,2,15,1,4,6
27,2,15,2,1,4
22,2,1,1,3,2
46,2,1,1,2,2
22,2,4,1,1,2
21,2,1,1,3,6
60,2,2,1,4,6
39,2,1,1,4,6
30,2,1,1,3,2
19,2,2,2,3,6
38,2,1,1,2,6
61,1,1,1,4,6
18,2,1,1,3,2
57,2,1,1,1,4
36,2,4,1,4,6
29,2,1,1,3,2
70,2,1,1,4,4
56,2,1,1,2,2
66,2,1,1,4,5
44,1,1,1,3,5
23,2,1,1,2,2
25,1,2,1,2,2
56,1,1,1,1,6
20,2,1,1,3,2
50,1,1,1,1,2
31,1,1,1,2,4
20,2,1,1,3,2
18,2,1,1,2,6
30,1,8,1,4,4
47,2,1,1,1,2
31,2,1,1,3,2
65,2,1,1,2,4
61,2,1,1,3,2
33,1,1,1,1,4
26,2,2,1,3,4
32,2,15,2,4,2
31,2,1,1,3,1
55,2,2,1,3,2
27,1,2,1,3,2
31,2,1,1,1,6
36,2,2,1,3,6
60,2,2,1,3,2
73,2,1,1,1,2
37,2,1,1,2,4
46,2,1,1,3,4
47,2,1,1,3,6
71,1,1,1,2,7
33,1,1,1,3,2
34,2,1,1,1,6
62,1,1,1,3,8
46,2,1,1,3,4
34,2,2,1,3,7
50,2,1,1,3,3
35,2,1,1,4,6
36,2,1,1,3,2
34,1,15,2,1,6
22,2,1,2,3,4
27,2,1,1,3,6
21,2,15,1,3,2
28,2,15,2,1,4
20,2,15,2,1,2
64,2,1,1,4,2
50,2,1,1,3,4
28,1,1,1,3,6
23,2,1,1,2,4
36,2,1,1,4,6
22,1,1,15,3,2
34,2,1,1,4,2
73,2,1,1,2,2
56,2,15,2,3,2
27,2,16,15,1,2
38,2,1,1,1,6
40,2,1,1,3,2
27,2,1,1,1,2
24,2,1,1,4,6
22,2,2,1,1,2
67,1,1,1,2,6
32,1,1,1,3,6
57,2,15,2,4,2
22,2,15,2,3,6
69,1,1,1,1,6
45,1,15,2,3,2
25,2,4,1,4,6
44,1,1,1,2,2
68,2,1,1,2,2
37,1,1,1,2,2
20,2,1,2,1,2
42,2,1,1,4,4
75,2,1,1,2,6
33,2,1,1,3,2
26,2,1,1,4,6
38,2,1,1,3,2
45,2,1,1,2,2
46,2,1,1,4,4
19,2,15,2,2,2
34,2,15,1,3,6
31,2,1,1,3,6
27,2,1,1,3,7
41,2,4,1,1,7
26,2,1,1,4,6
27,2,15,2,1,2
18,2,1,1,2,6
26,2,15,2,4,2
23,2,4,1,4,6
26,2,1,1,3,2
34,2,1,1,3,6
45,2,2,1,3,2
26,2,1,1,3,6
54,2,1,1,2,4
29,2,1,1,2,6
58,2,1,1,2,5
30,2,1,1,3,2
22,2,1,1,3,6
43,1,16,1,2,6
41,2,15,2,4,2
22,2,1,1,1,7
39,2,1,1,1,2
37,2,1,1,3,6
32,2,1,1,3,2
45,2,1,2,3,6
46,1,1,1,2,6
25,2,15,2,2,2
32,2,1,1,3,2
21,2,1,1,3,2
57,1,1,1,2,6
42,1,1,1,3,2
42,1,1,1,3,2
35,2,1,1,3,2
38,1,1,1,1,2
41,2,4,1,1,6
27,1,2,1,2,6
50,2,1,1,2,6
28,2,1,1,4,7
43,2,2,1,3,6
34,1,4,1,4,6
38,2,2,1,3,6
30,1,1,1,1,7
30,1,4,1,2,7
23,2,2,1,3,6
41,2,1,1,4,2
45,2,1,1,2,3
26,2,15,1,3,6
52,2,1,1,1,2
22,2,2,1,2,2
45,2,1,1,2,6
43,2,1,1,1,2
42,1,1,1,3,2
36,2,16,1,2,6
48,2,1,1,3,7
57,2,1,1,3,4
25,2,4,1,4,4
63,2,1,1,3,1
32,1,2,1,3,4
25,2,1,1,2,6
42,1,2,1,3,2
29,2,15,1,1,6
66,2,1,1,3,2
50,2,1,1,4,4
21,2,2,1,2,2
21,2,1,2,3,4
24,2,2,1,3,4
41,1,2,1,1,6
35,1,1,2,2,8
41,2,1,1,4,6
39,2,1,1,1,2
18,2,3,1,3,2
52,1,1,1,1,2
19,2,4,1,1,6
18,2,15,2,3,2
25,1,15,2,4,2
61,2,1,1,3,6
57,2,1,1,3,2
33,1,1,1,3,4
55,2,1,1,3,6
47,2,1,1,3,4
51,2,1,1,2,6
61,2,1,1,3,4
26,1,1,1,4,6
27,2,2,1,3,6
29,2,1,1,3,6
25,2,2,1,1,2
27,1,1,1,2,6
26,2,1,1,3,2
27,2,1,2,1,2
75,1,1,1,3,6
36,2,15,2,4,4
71,2,1,1,3,7
21,2,1,1,4,2
24,2,15,2,4,6
36,2,2,1,2,4
45,1,1,1,2,2
39,2,1,1,3,2
24,2,3,1,3,4
34,2,15,2,3,2
48,1,1,1,4,6
44,2,1,1,3,2
33,1,1,1,2,2
37,2,15,2,3,6
70,2,1,1,4,7
68,2,1,1,1,4
29,2,2,1,3,6
21,2,2,1,1,2
52,2,1,1,1,6
25,2,1,1,1,2
33,2,1,1,3,2
34,2,4,1,3,7
33,2,1,1,2,2
31,2,15,2,4,2
60,2,1,1,2,2
24,2,2,1,2,6
44,2,1,1,4,6
30,1,1,1,3,7
57,2,2,1,3,4
24,2,2,1,2,2
78,2,1,1,3,6
56,2,2,1,3,6
34,2,3,1,3,6
50,2,2,1,2,6
46,2,1,1,3,6
53,2,1,1,3,2
28,2,1,1,2,6
32,2,1,1,2,6
45,2,1,1,1,1
38,2,1,1,2,2
42,2,1,1,2,2
68,2,2,1,3,2
38,2,1,1,3,6
30,2,15,2,3,2
30,2,2,1,3,6
24,2,15,2,3,6
45,1,2,1,3,6
29,2,15,2,3,2
76,2,1,1,2,7
42,2,1,1,3,6
30,1,3,1,3,6
29,2,15,2,4,6
30,2,5,1,3,6
27,2,4,1,4,6
36,2,1,1,4,6
50,2,1,1,3,4
74,1,2,1,2,2
24,1,2,1,2,6
23,1,1,1,3,6
25,2,1,1,3,2
30,2,1,1,2,2
39,2,2,1,3,2
45,2,1,1,3,1
46,2,1,1,4,2
34,2,15,2,3,6
63,2,1,1,2,8
33,1,1,1,2,2
43,1,1,1,3,6
28,2,15,2,3,6
36,1,1,1,3,6
34,2,1,1,3,2
31,2,1,1,1,4
34,1,1,1,3,7
66,2,2,1,3,2
55,1,2,1,1,6
25,2,2,1,3,2
66,2,15,2,3,2
20,2,2,1,3,6
32,2,1,1,4,4
39,1,2,1,4,6
56,2,1,1,3,2
36,2,1,1,3,2
55,2,1,1,2,2
40,1,1,1,2,4
47,2,1,1,3,2
26,2,4,1,4,4
20,2,2,1,3,2
38,2,1,1,1,2
31,1,15,2,3,4
73,1,1,1,4,6
65,2,1,1,3,4
25,1,2,1,2,6
69,2,1,1,3,6
61,1,1,1,2,4
34,2,1,1,3,2
56,2,1,1,3,2
19,2,15,2,3,4
50,2,2,1,3,4
52,2,1,1,3,2
50,1,1,1,1,2
71,2,1,1,3,6
34,2,1,1,4,6
35,1,15,2,3,4
33,1,1,1,4,6
54,2,1,1,3,2
70,2,1,1,3,5
64,2,1,1,1,2
32,2,1,1,3,6
60,1,1,1,3,7
41,1,1,1,3,2
24,1,15,1,3,6
20,2,1,1,1,4
29,1,2,1,3,6
59,2,1,1,1,2
49,1,1,1,2,2
18,2,1,1,4,2
47,1,2,1,4,6
32,1,2,1,3,6
41,1,2,1,3,6
67,1,1,1,1,7
30,2,15,1,3,6
30,1,1,1,3,6
44,1,1,1,3,6
37,1,1,1,1,2
39,1,1,1,3,6
63,1,1,1,4,6
36,2,15,2,3,2
25,2,2,1,4,4
52,2,1,1,2,2
36,1,1,1,3,4
56,2,1,1,3,4
28,2,1,1,4,2
39,2,1,2,3,6
31,2,4,1,4,2
65,2,2,1,3,6
28,2,1,2,3,6
54,2,1,1,2,6
58,2,1,2,3,6
56,2,1,1,3,4
43,2,15,2,4,4
24,1,15,7,3,3
28,1,1,1,3,6
59,1,1,1,2,6
20,1,2,1,3,4
61,2,1,1,3,6
49,2,1,1,3,8
39,1,16,15,3,6
69,2,1,1,3,2
71,2,1,1,3,2
47,1,1,1,1,2
59,1,1,1,1,2
73,2,2,1,3,4
65,1,1,1,3,6
27,2,1,1,2,6
31,2,2,1,2,6
71,2,1,1,1,2
33,1,2,1,3,2
59,2,1,1,2,6
39,2,15,2,1,4
41,1,2,1,3,6
51,2,1,1,3,2
70,2,1,1,1,2
61,2,2,1,3,1
48,2,1,1,2,6
40,2,2,1,1,4
30,1,1,1,2,6
43,2,15,12,1,1
25,1,2,1,4,2
41,1,1,1,2,7
40,1,15,2,1,6
48,1,2,1,1,4
48,2,1,1,2,7
26,1,2,1,3,2
28,1,4,1,4,4
60,2,1,1,3,1
31,1,2,1,3,6
28,2,1,1,3,4
31,2,1,1,4,4
38,1,15,15,1,4
35,1,1,1,3,4
20,2,2,1,3,2
76,2,1,1,3,2
74,2,1,1,4,7
45,1,1,1,1,6
42,1,1,1,1,7
52,2,1,1,1,2
34,2,1,1,3,6
36,1,1,1,2,6
24,2,1,1,3,2
40,2,1,1,1,6
71,2,1,1,2,2
53,1,1,1,2,2
39,1,1,1,1,6
63,2,3,1,4,5
66,2,1,1,3,4
37,1,1,1,2,4
37,2,4,1,1,3
54,2,1,1,4,3
31,1,2,1,3,2
23,2,4,1,1,7
41,1,4,1,3,4
64,2,1,1,3,4
50,2,1,1,2,6
39,2,2,1,2,4
29,2,1,1,2,2
63,1,15,1,4,4
24,1,2,1,3,5
34,1,1,1,1,5
20,2,1,1,2,2
23,1,1,1,2,2
59,2,1,1,3,2
34,1,2,1,3,2
59,1,2,1,3,2
57,2,1,1,3,2
40,2,1,1,4,6
34,2,15,2,1,2
61,2,1,1,2,8
40,1,1,1,4,7
31,1,1,1,3,2
44,2,1,1,3,4
68,2,1,1,3,4
71,1,1,1,4,7
58,2,1,1,4,2
41,2,15,1,3,2
21,1,15,2,3,7
75,2,1,1,1,6
40,1,3,1,3,6
69,2,1,1,2,6
34,2,15,2,4,6
66,1,1,1,2,3
50,1,2,1,1,6
41,1,1,1,1,7
24,2,1,1,4,6
27,2,1,1,1,2
49,1,2,1,3,2
69,1,1,1,1,4
35,1,1,1,1,4
44,1,1,1,4,6
67,1,2,1,2,5
28,1,16,1,3,6
51,1,1,14,2,5
38,1,2,1,3,4
43,1,1,1,1,6
66,2,1,1,3,2
22,1,1,1,3,1
29,1,1,1,4,6
42,1,1,1,3,4
31,2,1,1,3,2
65,2,1,1,4,7
62,2,1,1,3,7
31,1,15,2,3,2
68,2,1,1,2,2
72,1,1,1,3,7
22,2,15,2,4,6
39,1,10,1,3,7
70,1,1,1,2,4
60,2,1,1,3,1
78,2,1,1,2,2
35,1,2,1,3,2
51,1,1,1,3,6
38,1,15,1,3,2
62,2,2,1,3,2
58,2,1,1,3,6
61,1,1,1,2,5
32,1,1,1,3,2
40,1,1,1,3,7
29,2,1,1,3,1
23,2,4,1,3,6
21,1,2,1,1,2
71,2,1,1,3,2
52,2,1,1,2,2
59,2,1,1,4,4
30,1,1,1,3,6
27,1,15,2,4,6
42,1,1,1,1,4
37,2,1,1,2,1
34,1,1,1,3,6
46,2,15,2,2,2
52,1,1,1,2,6
38,2,1,1,1,5
64,1,1,1,3,2
24,2,15,2,1,2
34,1,1,1,2,6
36,1,2,1,1,2
47,2,2,1,2,4
63,2,1,1,3,7
71,2,1,1,1,5
57,2,1,1,2,2
28,2,1,1,1,6
66,2,1,1,3,6
76,2,1,1,3,4
49,2,1,1,3,6
37,1,2,1,4,6
28,1,1,1,2,4
71,2,2,1,3,5
24,2,1,1,3,2
29,1,1,1,4,2
52,2,15,1,3,4
33,2,1,1,3,7
31,2,1,1,3,2
40,1,1,2,4,7
62,1,16,1,4,7
35,1,1,1,3,7
34,2,1,1,4,6
77,1,1,1,4,6
57,1,2,1,1,2
61,1,1,1,4,4
74,2,1,1,3,7
26,1,2,1,2,2
45,1,2,1,1,2
30,1,1,1,3,4
44,1,2,1,3,4
66,2,1,1,2,6
58,2,1,1,2,6
24,1,1,1,4,6
35,2,1,1,3,2
57,2,1,1,4,6
50,2,2,14,3,5
66,1,1,1,2,4
26,1,15,2,4,6
28,1,2,1,3,4
23,1,4,1,2,6
74,2,1,1,4,6
58,2,1,12,4,4
55,2,1,1,1,6
50,2,1,1,4,6
38,1,1,1,1,2
42,1,1,1,1,7
55,2,1,1,3,2
59,1,1,1,3,3
57,2,16,1,1,2
32,1,2,2,3,7
88,1,1,1,2,6
36,1,1,1,2,2
37,2,16,1,3,4
67,2,1,1,2,4
61,2,1,1,3,6
38,1,1,1,2,2
21,2,1,1,2,2
43,1,1,1,3,6
58,2,1,1,2,2
23,2,1,1,3,2
82,2,1,1,4,4
31,2,1,1,3,3
30,1,11,1,2,6
43,1,1,1,3,4
42,2,1,1,4,2
35,2,1,1,3,2
42,1,15,1,4,6
73,2,1,1,1,8
23,2,15,2,3,6
41,1,1,1,1,7
22,2,1,1,2,2
54,1,1,1,2,6
32,2,2,1,3,7
71,2,1,1,3,2
47,1,1,1,3,7
49,1,1,1,1,7
78,1,1,1,4,6
60,2,1,1,4,2
70,2,1,1,4,7
66,2,1,1,4,2
64,2,1,1,2,5
66,2,1,1,4,6
36,1,4,1,3,6
34,1,1,1,1,4
75,2,1,1,3,5
65,1,1,1,2,4
58,2,1,1,4,5
54,1,1,1,2,4
56,1,1,1,2,2
65,2,1,1,3,6
29,2,15,2,3,4
87,1,1,1,4,7
30,2,1,2,1,2
63,1,1,1,3,2
68,2,1,1,4,6
43,2,1,1,3,6
27,2,1,1,2,2
34,2,1,1,2,4
78,2,1,1,2,4
88,2,1,1,1,5
22,2,1,1,3,2
40,1,1,1,4,2
51,2,1,1,3,1
58,2,1,1,2,2
60,2,1,1,1,6
28,1,1,1,3,4
24,1,2,1,3,6
40,1,4,1,4,6
53,1,15,1,1,2
68,2,1,1,2,2
67,2,2,1,3,6
26,2,1,1,1,6
52,2,2,1,1,2
37,1,1,1,2,2
62,1,1,1,3,3
18,2,3,1,3,3
37,2,2,1,3,6
37,2,1,1,1,2
31,2,1,1,3,4
44,2,1,1,1,7
27,1,1,1,2,2
21,1,1,1,3,6
75,1,1,1,1,4
67,1,1,1,3,5
43,2,2,1,3,4
55,2,1,1,2,4
58,1,1,10,3,7
22,2,1,1,2,2
50,1,1,1,1,2
28,2,1,1,1,2
44,2,15,15,4,4
71,2,1,1,4,3
45,2,1,1,2,2
56,2,1,1,3,2
24,2,1,1,2,2
37,2,1,1,2,1
63,2,1,1,2,2
60,2,1,1,3,2
52,1,1,1,3,6
59,2,1,1,3,4
54,2,1,1,3,2
60,2,1,1,3,5
63,2,1,1,1,2
21,2,15,2,2,6
50,2,1,1,2,4
18,1,1,1,3,2
66,2,2,1,2,2
71,2,1,1,3,5
69,2,1,1,2,6
44,1,1,1,1,6
56,2,1,1,4,1
69,1,1,1,1,7
63,1,1,1,3,6
62,1,1,1,4,7
18,1,1,1,3,2
64,2,1,1,3,4
23,1,1,1,1,6
27,2,2,1,1,6
22,1,4,1,4,6
33,1,1,1,1,4
54,1,1,1,2,4
38,1,1,1,3,4
80,1,2,1,2,4
21,2,1,1,2,4
51,2,1,1,2,2
18,2,1,1,2,4
65,1,1,1,4,4
47,1,1,1,2,2
43,1,1,2,3,2
35,2,2,1,3,2
38,1,1,3,1,2
71,2,1,1,1,7
50,2,1,1,3,2
71,2,1,1,2,3
21,2,1,1,3,2
83,1,1,1,3,2
70,1,1,1,3,6
74,2,1,1,3,4
23,2,1,1,3,2
44,1,1,1,1,6
27,1,1,1,2,2
39,1,12,1,4,-3105
18,1,2,1,3,2
68,2,1,1,1,5
36,2,1,1,3,7
44,2,1,1,3,2
71,1,1,1,4,7
59,1,2,1,3,2
30,1,1,1,1,4
77,1,1,1,1,7
57,2,1,2,4,4
56,2,1,1,3,6
38,2,1,1,3,4
39,1,1,1,3,2
69,2,1,1,3,4
60,1,1,1,2,2
78,1,1,1,2,4
70,2,2,1,3,2
52,2,1,1,3,2
29,1,2,1,1,2
21,1,1,1,4,6
40,1,9,1,3,6
23,1,1,1,1,2
57,1,1,1,3,6
72,2,1,1,3,3
27,1,1,1,3,4
64,2,1,1,3,2
44,2,1,1,3,4
69,2,1,1,2,4
51,2,1,1,4,6
46,1,1,1,3,8
60,2,1,1,2,2
42,2,1,1,1,2
51,1,2,1,3,4
45,2,1,1,3,2
61,2,1,1,3,4
49,1,1,1,4,2
48,2,1,1,3,4
20,2,2,1,3,1
47,1,1,1,3,5
36,1,4,1,4,7
31,2,1,1,2,6
25,2,1,2,4,1
72,2,1,1,3,2
56,2,2,1,3,4
27,1,1,1,4,1
65,2,1,1,2,2
64,1,1,1,3,6
41,2,1,1,3,4
54,2,1,1,3,2
45,1,1,1,4,6
35,1,3,2,2,4
24,2,1,1,4,6
61,1,1,1,3,4
72,1,1,1,2,4
27,1,15,1,3,7
53,2,2,1,3,6
28,2,1,1,3,1
37,1,1,1,1,7
43,2,1,1,3,6
55,1,1,1,1,7
72,2,1,1,3,4
33,2,2,1,2,2
25,1,1,1,2,2
27,1,1,1,3,6
29,1,1,1,4,4
53,1,1,1,3,5
42,1,15,2,3,4
28,1,1,1,3,4
72,2,1,1,3,4
28,1,1,2,2,6
54,2,1,1,2,2
31,2,1,1,3,2
44,1,1,1,4,7
19,2,15,2,4,6
20,1,1,1,3,2
38,2,1,2,4,6
50,1,1,1,3,4
32,1,1,2,3,2
43,2,1,1,3,2
57,2,1,1,3,6
40,2,1,1,3,6
47,2,2,1,3,6
55,2,1,1,3,2
33,2,1,1,2,5
34,2,1,1,2,2
68,2,1,1,3,6
66,2,1,1,1,2
50,1,1,1,1,2
19,2,15,2,3,2
24,1,1,1,4,2
21,1,1,1,3,2
51,2,1,1,3,3
76,2,1,1,1,7
44,1,15,2,4,4
52,1,2,1,3,2
73,2,1,1,2,5
43,1,1,1,3,6
40,1,2,1,3,2
68,1,1,1,4,6
44,1,1,1,3,2
52,1,1,1,3,2
29,1,1,1,3,2
48,1,1,1,3,7
21,1,15,2,3,6
26,2,1,1,4,6
45,1,1,1,3,4
79,1,1,1,3,7
55,1,1,1,1,7
76,2,1,1,4,4
37,1,4,1,1,6
66,1,3,1,3,6
38,1,1,1,4,6
60,1,1,1,3,8
55,1,1,1,3,8
42,1,1,1,3,7
68,1,1,1,2,7
54,1,1,1,4,2
47,1,1,1,2,2
39,2,1,1,3,2
44,2,2,1,3,2
44,1,1,1,2,4
30,2,1,1,1,6
44,2,1,2,1,6
26,1,2,1,3,4
52,1,2,1,3,6
41,1,1,1,1,2
22,1,1,1,2,2
31,1,2,1,3,7
73,1,1,1,2,8
31,2,2,1,3,4
62,1,2,1,1,6
43,2,1,1,3,3
71,1,1,1,1,4
31,1,1,1,2,2
22,1,1,2,3,4
76,1,1,1,3,6
60,2,1,1,4,6
56,1,15,12,4,3
39,1,1,1,1,3
19,1,2,1,2,4
74,2,1,1,3,2
31,2,1,1,2,6
26,2,2,1,2,2
37,2,1,1,3,-3105
39,1,1,1,3,8
78,1,1,1,3,6
32,1,1,1,1,2
21,2,2,2,1,2
28,1,15,1,3,4
27,1,2,1,3,4
27,1,1,1,1,2
19,1,10,1,4,4
65,1,1,1,3,6
39,2,1,1,2,2
45,2,2,1,4,6
26,1,1,1,1,4
36,1,1,1,4,2
76,1,1,1,1,2
18,2,2,1,3,5
52,1,2,1,3,2
35,1,1,1,3,4
49,1,1,1,3,2
31,2,1,1,3,4
35,1,3,1,1,2
52,2,1,1,1,2
68,1,1,1,1,2
39,1,2,1,3,4
69,1,1,1,3,4
68,2,1,1,1,5
61,1,1,1,3,5
67,2,1,1,2,4
29,1,2,1,3,6
45,1,1,1,4,4
29,2,1,1,2,6
51,1,1,1,1,4
30,1,2,1,3,2
69,2,1,1,2,7
18,1,1,1,4,2
53,2,1,1,2,2
35,1,1,1,4,4
41,1,1,1,1,6
49,1,1,2,1,6
41,1,1,1,1,7
72,1,1,1,1,2
40,1,1,1,4,6
55,1,2,1,2,6
43,1,1,1,2,7
37,1,1,1,3,5
47,1,15,2,3,2
63,2,1,1,2,4
72,1,1,1,3,5
70,1,1,1,2,3
30,1,1,1,3,4
20,2,15,2,3,2
65,1,1,1,1,6
25,1,11,1,2,2
51,1,1,1,4,4
36,1,15,2,4,1
50,1,1,1,3,7
35,2,15,2,1,2
58,2,1,1,3,2
25,1,2,1,1,2
30,1,2,1,3,2
60,1,1,1,1,2
29,2,1,1,2,6
43,1,1,1,3,5
32,1,4,1,4,6
47,1,1,1,1,2
66,1,1,1,3,6
34,2,2,1,3,6
33,1,1,1,4,2
63,2,1,1,3,4
39,1,2,1,3,2
52,2,1,1,1,2
40,2,15,2,2,6
39,2,1,1,3,3
71,1,1,1,2,6
48,1,1,1,1,4
49,2,1,1,3,6
37,2,2,1,3,4
33,2,2,1,3,4
42,1,2,1,3,2
72,1,1,1,4,6
32,2,1,1,2,2
34,1,3,1,4,3
31,1,2,1,3,2
39,1,15,2,2,4
50,1,1,1,1,5
69,2,1,1,1,2
53,2,2,1,2,2
75,2,1,1,1,7
59,2,1,1,3,4
20,2,1,1,3,2
68,1,1,1,4,6
53,2,1,1,2,4
57,1,1,1,3,7
61,2,1,1,4,4
73,2,1,1,1,6
58,2,1,1,2,2
56,2,1,1,3,5
56,2,1,1,4,6
48,2,1,1,2,4
58,2,1,1,4,4
43,2,1,1,3,1
55,2,1,1,1,6
41,1,1,1,3,7
40,1,1,1,2,4
34,2,4,1,3,6
56,2,15,2,1,4
25,1,2,1,3,4
24,1,2,14,4,4
54,2,2,1,2,6
48,2,1,1,3,4
51,2,1,1,3,4
44,2,1,1,3,2
67,2,1,1,3,7
51,2,1,1,3,1
19,1,4,1,4,6
20,2,4,1,3,6
58,2,1,1,3,2
43,2,1,1,4,6
31,1,1,9,3,6
20,2,1,1,2,2
46,2,1,1,3,2
34,1,4,1,4,6
34,2,1,1,4,6
48,2,1,1,2,5
55,2,1,1,1,6
34,2,1,1,1,6
24,1,1,12,4,2
33,2,1,2,3,2
34,2,1,1,2,4
46,2,4,1,4,4
37,1,2,1,4,6
66,1,1,1,4,4
60,2,1,1,1,6
66,1,1,1,1,4
30,1,1,1,3,6
28,2,1,1,2,4
63,2,2,1,3,2
25,2,1,1,4,2
34,2,2,2,4,7
75,2,1,1,3,2
32,2,2,1,3,2
44,2,1,1,3,2
61,1,1,1,3,6
34,2,1,2,3,6
67,2,1,1,3,6
45,1,1,1,3,8
71,2,1,1,3,4
35,1,1,1,3,8
42,2,1,1,3,2
60,1,1,1,2,6
57,2,1,1,4,6
47,2,1,2,2,6
32,1,2,1,3,5
29,1,1,1,3,2
48,2,1,1,2,2
65,2,1,1,2,2
26,2,1,1,4,2
53,2,1,1,3,2
37,2,1,1,3,6
41,1,1,5,3,7
28,1,1,1,3,2
23,1,15,2,4,2
24,2,1,1,3,6
42,2,1,1,3,6
48,2,1,1,1,6
66,1,2,1,3,6
50,1,2,1,3,6
32,2,1,1,2,6
45,2,1,1,2,2
38,2,15,2,4,2
20,2,15,2,1,4
56,1,1,1,1,2
37,1,1,1,4,6
51,2,1,1,3,2
73,2,1,1,3,6
24,2,1,1,2,6
27,2,1,1,2,6
43,1,4,1,4,6
22,2,1,1,2,2
68,1,1,1,4,4
29,2,2,1,1,4
33,1,15,2,3,6
50,2,1,1,3,6
62,2,1,1,2,4
68,1,1,1,3,6
29,2,15,2,4,2
58,1,1,2,1,2
47,1,1,1,2,6
28,2,15,1,3,6
31,2,1,1,3,2
32,2,1,1,2,2
42,2,2,2,2,6
60,2,2,1,1,7
46,1,1,1,1,4
30,1,16,2,3,2
45,2,15,2,4,6
30,1,15,1,3,2
56,2,1,1,3,2
62,2,2,1,2,5
44,2,1,1,3,6
49,1,1,1,1,7
30,1,15,1,3,6
27,1,1,1,4,6
48,2,1,1,3,2
44,2,1,1,3,6
71,1,1,1,4,4
63,2,1,1,1,2
71,1,1,1,4,4
29,1,1,2,1,2
61,1,1,1,3,2
22,2,2,1,4,2
37,1,2,1,1,5
47,2,1,1,2,4
29,2,15,2,4,6
36,1,1,1,3,7
31,1,2,1,4,4
57,1,2,1,3,6
55,2,1,1,4,6
58,2,1,1,1,2
19,2,1,1,4,2
37,2,1,1,3,6
29,2,1,1,2,6
49,2,4,1,4,4
63,1,1,1,4,7
29,2,1,1,3,2
43,2,1,1,3,6
58,1,1,2,4,4
36,1,1,1,4,7
61,2,1,1,3,2
35,1,2,1,4,6
29,2,1,1,2,6
21,1,1,1,1,4
35,2,1,1,3,6
19,1,1,1,4,4
28,2,2,1,3,6
25,2,2,1,2,4
25,2,15,2,1,6
51,1,5,1,4,6
24,1,1,1,4,6
23,2,15,2,2,6
45,2,1,1,2,2
50,2,1,1,2,1
24,2,2,1,3,2
21,1,15,2,4,2
25,2,16,1,4,6
